timestamp,round,duration_s,clients_selected,clients_completed,aggregation_method
2026-03-22T12:52:58.324236,1,6.374,3,3,FedAvg
2026-03-22T12:53:00.693647,2,2.362,3,3,FedAvg
2026-03-22T12:53:03.128554,3,2.427,3,3,FedAvg
2026-03-22T12:53:05.452284,4,2.316,3,3,FedAvg
2026-03-22T12:53:07.901311,5,2.44,3,3,FedAvg
2026-03-22T12:53:10.224652,6,2.316,3,3,FedAvg
2026-03-22T12:53:12.593514,7,2.362,3,3,FedAvg
2026-03-22T12:53:14.979246,8,2.378,3,3,FedAvg
2026-03-22T12:53:17.306230,9,2.32,3,3,FedAvg
2026-03-22T12:53:19.774086,10,2.461,3,3,FedAvg
